Title,Name,Institution_Name,Affiliation,Link,City,Role
Dr.,Dirk von Suchodoletz,University of Freiburg,Compute Center,https://www.ks.uni-freiburg.de/mitarbeiter/Dirk_von_Suchodoletz,Freiburg,Spokesperson; TA4 Lead
Prof. Dr.,Rolf Backofen,University of Freiburg,Bioinformatics,http://www.bioinf.uni-freiburg.de/~backofen/,Freiburg,
Dr.,Björn Grüning,University of Freiburg,Bioinformatics,https://www.experten.uni-freiburg.de/pr/experts/bjoern-gruening,Freiburg,Technical Advisory Board
Prof. Dr.,Klaus Rechert,Hochschule Kehl,Administrative and business informatics,https://www.ks.uni-freiburg.de/mitarbeiter/klaus_rechert,Kehl,
Prof. Dr.,Ralf Reski,University of Freiburg,Plant Biotechnology,https://www.bio.uni-freiburg.de/ag/reski,Freiburg,Senior Management Board
Prof. Dr.,Andrea Bräutigam,Bielefeld University,Computational Biology,https://ekvv.uni-bielefeld.de/pers_publ/publ/PersonDetail.jsp?personId=112481313,Bielefeld,Senior Management Board
Dr.,Jens Krüger,Eberhard Karls University Tübingen,High-Performance and Cloud Computing Group,https://uni-tuebingen.de/einrichtungen/zentrum-fuer-datenverarbeitung/das-zdv/wir-ueber-uns/mitarbeiter-innen/jens-krueger/,Tübingen,Co-Spokesperson; TA2 Lead
,Olaf Brandt,Eberhard Karls University Tübingen,University Library,https://uni-tuebingen.de/einrichtungen/universitaetsbibliothek/ueber-uns/ansprechpartner/fachreferenten-wissenschaftlicher-dienst/brandt/,Tübingen,
Prof. Dr.,Eric Kemen,Eberhard Karls University Tübingen,ZMBP,https://uni-tuebingen.de/en/fakultaeten/mathematisch-naturwissenschaftliche-fakultaet/fachbereiche/zentren/zentrum-fuer-molekularbiologie-der-pflanzen/research/research-groups/microbial-interactions/people/,Tübingen,
Prof. Dr.,Sven Nahnsen,Eberhard Karls University Tübingen,QBIC,https://uni-tuebingen.de/forschung/forschungsinfrastruktur/zentrum-fuer-quantitative-biologie-qbic/team/prof-dr-sven-nahnsen/,Tübingen,
Prof. Dr.,Thomas Walter,Eberhard Karls University Tübingen,Compute Center,https://uni-tuebingen.de/einrichtungen/zentrum-fuer-datenverarbeitung/das-zdv/wir-ueber-uns/mitarbeiter-innen/prof-dr-thomas-walter/,Tübingen,
Prof. Dr.,Andreas P. M. Weber,Heinrich Heine University Düsseldorf,Institute of Plant Biochemistry,https://www.plant-biochemistry.hhu.de/,Düsseldorf,Scientific Advisory Board
Dr.,Dominik Brilhaus,Heinrich Heine University Düsseldorf,Data Science and Management,https://www.ceplas.eu/en/research/data-science-and-data-management/,Düsseldorf,CEPLAS
Prof. Dr.,Klaus F. X. Mayer,Helmholtz-Zentrum München,Plant Genome and Systems Biology,https://www.helmholtz-munich.de/en/pgsb,München,
Prof. Dr. Dr. h. c. ,Edda Klipp,Humboldt University Berlin,Theoretical Biophysics,https://rumo.biologie.hu-berlin.de/tbp/index.php/en/people/51-people/head/52-klipp,Berlin,
Dr. ,Uwe Scholz,Leibniz Institute of Plant Genetics and Crop Plant Research,Bioinformatics and Information Technology,https://www.ipk-gatersleben.de/en/research/breeding-research/bioinformatics-and-information-technology,Gatersleben,
Prof. Dr.,Björn Usadel,Forschungszentrum Jülich,IBG-4 Bioinformatics,https://www.fz-juelich.de/profile/usadel_b,Jülich,Co-Spokesperson; TA1 Lead
Prof. Dr.,Dario Leister,Ludwigs-Maximilians University Munich,Plant Molecular Biology/Botany,https://www.botanik.bio.lmu.de/personen/professuren/leister/,München,
Prof. Dr.,Alisdair Fernie,Max-Planck Institute of Molecular Plant Physiology,Central Metabolism,https://www.mpimp-golm.mpg.de/5224/Alisdair_Fernie,Potsdam,
Prof. Dr.,Ute Krämer,Ruhr University Bochum,Molecular Genetics and Physiology of Plants,https://www.ruhr-uni-bochum.de/mgpp/Seiten_dt/index_d.html,Bochum,Scientific Advisory Board
Prof. Dr.,Timo Mühlhaus,University Kaiserslautern-Landau,Computational Systems Biology,https://csbiology.github.io/#team,Kaiserslautern,Co-Spokesperson; TA3 Lead
Prof. Dr.,Stefan Deßloch,University Kaiserslautern-Landau,Heterogeneous Information Systems,http://wwwlgis.informatik.uni-kl.de/cms/his/staff/dessloch/,Kaiserslautern,
Prof. Dr.,Christoph Garth,University Kaiserslautern-Landau,Scientific Visualization Lab,https://vis.uni-kl.de/team/garth/,Kaiserslautern,Technical Advisory Board
Prof. Dr.,Heike Leitte,University Kaiserslautern-Landau,Visual Information Analysis,https://vis.cs.rptu.de/team/leitte/,Kaiserslautern,Senior Management Board
Dr.,Inga Scheler,University Kaiserslautern-Landau,Regionales Hochschulrechenzentrum Kaiserslautern,https://rz.rptu.de/wir-ueber-uns/organisationseinheiten,Kaiserslautern,
Prof. Dr.,Karl Schmid,University of Hohenheim,Crop Plant Biodiversity and Breeding Informatics,https://evoplant.uni-hohenheim.de/people/schmid/index.html,Hohenheim,
Prof. Dr.,Sandra Schmöckel,University of Hohenheim,Physiology of Yield Stability,https://phys.uni-hohenheim.de/sandra-schmoeckel,Hohenheim,
Prof. Dr.,Waltraud Schulze,University of Hohenheim,Plant Systems Biology,https://systembiologie.uni-hohenheim.de/en,Hohenheim,
Dr.,Anja Oberländer,University of Konstanz,"Open Science, Communication, Information, Media Centre (KIM)",https://scikon.uni-konstanz.de/personen/profile/anja.oberlaender/,Konstanz,
,Matthias Landwehr,University of Konstanz,"Open Science, Communication, Information, Media Centre (KIM)",https://scikon.uni-konstanz.de/personen/profile/matthias.landwehr/,Konstanz,
,Oliver Kohl-Frey,University of Konstanz,"Open Science, Communication, Information, Media Centre (KIM)",https://www.kim.uni-konstanz.de/das-kim/kontakt-und-oeffnungszeiten/direktion/,Konstanz,
apl. Prof. Dr.,Stefanie Weidtkamp-Peters,Heinrich Heine University Düsseldorf,Center for Advanced Imaging,https://www.cai.hhu.de/team,Düsseldorf,
