Name,Latitude,Longitude,IsApplicant
Berlin,52.520156,13.393208,False
Bielefeld,52.036843,8.495499,false
Bochum,51.445623,7.261023,false
Center,50.906417,6.404672,false
Dresden ,51.028056,13.726667,false
Düsseldorf,51.191948,6.794091,false
Freiburg,47.994133,7.845864,true
Freising,48.403510,11.748760,false
Gatersleben, 51.823238,11.287072,false
Golm,52.400000,12.966700,false
Halle (Saale),51.482800,11.639200,false
Hannover,52.373920,9.735603,false
Hohenheim,48.713601,9.210977,false
Jülich,50.921490,6.362670,true
Kaiserslautern,49.426779,7.756111,true
Kehl,48.572970,7.815230,false
Köln,50.937531,6.960279,false
Konstanz,47.690018,9.186878,false
Marburg,50.809040,8.770690,false
München,48.385803,10.921752,false
Münster,51.961563,7.628202,false
Neustadt Wstr.,49.340510,8.133150,false
Potsdam,52.416276,12.968920,false
Regensburg,49.016700,12.083300,false
Tübingen,48.530725,9.043488,true
Göttingen,51.533889,9.935556,false
